community_id;date_created;title;current_subs;ID;Href;Verivication;First post;Second post
62958938947628;31.03.2020;Жумуш берилет, Подработка - Мигрантхантер;3082;237;https://ok.ru/group/62958938947628;ЛОЖЬ;13 апр;6 апр
61238533554258;01.09.2021;Проф переподготовка медработников. Аккредитация.;3068;238;https://ok.ru/group/61238533554258;ЛОЖЬ;27 ноя 2023;30 мая
51868969926885;24.11.2011;Кастинги в кино и рекламе, массовки, работа на ТВ;3066;239;https://ok.ru/group/51868969926885;ЛОЖЬ;5 апр 2015;вчера 11:28
53566512562380;03.09.2017;Работа, вакансии Улан-Удэ;3046;240;https://ok.ru/group/53566512562380;ЛОЖЬ;1 июн;30 мая
53850236125271;11.10.2017;Работа в Санкт-Петербурге Колпино Пушкин Тосно;3030;241;https://ok.ru/group/53850236125271;ЛОЖЬ;12:28;11:58
56738271461426;28.04.2013;Работа в г. Зея;3028;242;https://ok.ru/group/56738271461426;ЛОЖЬ;4 авг 2023;вчера 19:38
47664511123491;10.08.2008;Железнодорожники;3024;243;https://ok.ru/group/47664511123491;ЛОЖЬ;14 авг 2013;7:46
70000002628859;28.05.2023;Ligaro&valens-семинары для бухгалтеров, кадровиков;3012;244;https://ok.ru/group/70000002628859;ЛОЖЬ;27 мая;27 мая
53577283797075;02.03.2017;Работа Недвижимость на Камчатке;3004;245;https://ok.ru/group/53577283797075;ЛОЖЬ;24 мар 2022;29 мая
51804607348873;12.02.2014;Работа в Кемерово. Вакансии.;2997;246;https://ok.ru/group/51804607348873;ЛОЖЬ;11:00;9:00
